rms
0.077640
0.101711
0.051803
0.086314
0.105479
0.068367
0.060365
0.039617
0.051967
0.062150
0.044880
0.055919
0.058388
0.057691
0.054055
0.050169
0.051522
0.062443
0.064071
0.043736
0.052026
0.054191
0.045497
0.048569
0.048626
0.045661
0.058953
0.031516
0.042949
0.032238
0.031891
0.068051
0.044139
0.044314
0.063382
0.039906
0.060122
0.065164
0.064175
0.082709
0.075015
0.065595
0.072403
0.053057
0.054455
0.048012
0.079669
0.125863
0.064369
0.091990
0.104707
0.083995
0.060509
0.037802
0.048241
0.059444
0.045448
0.048847
0.059428
0.051355
0.055658
0.051264
0.057857
0.072015
0.066855
0.049350
0.036547
0.056605
0.070970
0.070143
0.073021
0.034682
0.044657
0.032575
0.024849
0.033473
0.047001
0.070347
0.079204
0.088305
0.076342
0.042007
0.050510
0.039561
0.033045
0.025715
0.041655
0.069735
0.101180
0.073396
0.081732
0.051759
0.031947
0.022308
0.012788
0.083113
0.079537
0.067575
0.036202
0.027760
0.022552
0.015419
0.020531
0.025000
0.018051
0.026472
0.030956
0.040803
0.033574
0.041941
0.023254
0.021253
0.018770
0.041359
0.046159
0.080124
0.116869
0.080244
0.080401
0.111094
0.075777
0.059298
0.043386
0.053371
0.067706
0.045473
0.057695
0.061698
0.059858
0.060126
0.052463
0.069355
0.078438
0.050029
0.048398
0.029224
0.017355
0.013179
0.012642
0.010438
0.017728
0.015486
0.010509
0.011833
0.006856
0.006230
0.006798
0.048439
0.083345
0.049219
0.002425
0.000486
0.000683
0.000602
0.000643
